dataset_record_id,review_order,severity,scope_type,category,repo_key,finding_statement,material_index,stage2_label,stage2_confidence,stage2_harm_relevance,stage2_rationale_short,stage2_rationale_detailed,stage2_disconfirming_evidence,stage2_notes
TPFPV1-0092,74,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/affaan-m__everything-claude-code,Broad external-action surface without approval model,materials/TPFPV1-0092/material-index.json,FP,medium,low,"Snippet is an LLM-tooling inventory listing (Claude SDK, Context7, MCP servers, document-processing libraries), not action instructions.","The matched text is a curated list of recommended tools per integration category — Claude SDK for LLM integration, MCP servers for prompt management, unstructured/pdfplumber/mammoth for document processing. Like 0089, this is a recommendation/inventory document, not a broad-action surface. The detector counted ras=3 on the names of these integrations.",Inventory framing rather than imperative instructions.,
TPFPV1-0063,75,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/microsoft__vscode,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0063/material-index.json,FP,medium,low,"fix-ci-failures skill is a one-shot diagnose-and-fix workflow, not an autonomous loop.","The skill describes a 5-step linear workflow: identify branch, check CI, download logs, extract failure, fix and push. It is not a continuous polling loop and the writes are gated on the agent diagnosing a single failure. The detector counted 'commit/push' write markers and a single 'until green' phrase, but the operational meaning is that the agent fixes one failure and pushes once, not that it runs an unattended loop. The autonomy framing is weak compared to genuine loop skills like pr-address.",The 5-step workflow is sequential and one-shot rather than continuous.,
TPFPV1-0074,78,high,repo-file,category4_surface_mentions,category4_surface_mentions/davepoon__buildwithclaude,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0074/material-index.json,TP,high,high,"gsd-execute-phase orchestrator spawns parallel subagents in waves and executes plans without per-action gating; --interactive is opt-in, not default.","The skill is a wave-based parallel-execution orchestrator: it discovers plans, analyzes dependencies, groups into waves, and spawns subagents that execute the plans. The default mode is non-interactive — --interactive is an explicit flag. Each subagent loads its own execute-plan context and writes code. There is no per-action user-confirmation gate in the default flow. This is a clear autonomous-loop-with-writes pattern, with the additional concern of subagent fan-out.","An --interactive mode exists for stepwise execution, but it is opt-in.",
TPFPV1-0196,80,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Persistent identity rewrite with future-session effect,materials/TPFPV1-0196/material-index.json,FP,high,none,"Same sickn33 mobile-security-coder skill, repeated match on 'ProGuard/R8 obfuscation, anti-tampering, root/jailbreak detection'.",Same defensive mobile-security topic listing as 0195/0199/0202. Defensive prose flagged as identity rewrite.,Same as 0195.,
TPFPV1-0067,81,high,repo-file,category3_custom_agents_instructions_skills,category3_custom_agents_instructions_skills/github__awesome-copilot,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0067/material-index.json,TP,high,high,"autoresearch skill explicitly tells the agent 'run autonomously once the loop starts -- never pause to ask should I continue?' while modifying code, committing, and reverting.","The skill's behavior rules include #6: 'DO run autonomously once the loop starts -- never pause to ask ""should I continue?"".' The Phase 3 experiment loop runs continuously until MAX_EXPERIMENTS is hit. The agent commits each experiment, runs it, measures, and reverts on regression. There is an interactive Setup phase that establishes scope, but once started, the loop performs writes without per-iteration approval. This is unambiguously an autonomous loop with writes.",Interactive Setup phase establishes goal/metric/scope; rules #7 and #10 forbid touching out-of-scope files or installing dependencies.,
TPFPV1-0115,82,high,repo-file,category4_surface_mentions,category4_surface_mentions/Yeachan-Heo__oh-my-codex,Broad external-action surface without approval model,materials/TPFPV1-0115/material-index.json,FP,medium,low,"oh-my-codex skill snippet shows AskUserQuestion call and tool-discovery pattern, which is approval-aware.","The matched evidence shows the skill instructing the agent to use AskUserQuestion and to call ToolSearch('mcp') before MCP tool use. The 'Drafts go to .omx/drafts/' fragment is a scoping rule. These are approval/scoping markers, not broad-action surfaces. The detector counted ras=3 but missed the AskUserQuestion and scoping language.",Explicit AskUserQuestion and scoped output paths exist in the file.,
TPFPV1-0089,83,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/affaan-m__everything-claude-code,Broad external-action surface without approval model,materials/TPFPV1-0089/material-index.json,FP,medium,low,"Snippet is an inventory of external integrations (fal.ai, dmux, MCP servers) referenced as configuration baseline, not action instructions.","The matched text describes available MCP server integrations and a project-local config.toml as a 'default Codex baseline' for an agent setup. This is a configuration-listing document rather than a skill that instructs broad external action. The detector counted ras_total=3 from the names of integrations (audio generation via fal.ai, dmux-workflows, MCP servers) but the file is descriptive rather than instructional.",The file is a configuration/inventory document rather than an action playbook.,
TPFPV1-0197,84,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Persistent identity rewrite with future-session effect,materials/TPFPV1-0197/material-index.json,FP,high,none,Same sickn33 '007' security-audit topic listing as 0194 (Portuguese/English mix).,Same as 0194.,Same as 0194.,
TPFPV1-0002,86,critical,category-root,category4_surface_mentions,,[collection-scale] Agent Identity Spoofing and Authority Impersonation,materials/TPFPV1-0002/material-index.json,FP,medium,low,Collection-scale aggregate has internal counting defects (>100% replication on multiple sub-rules) and the cross-agent-attack rule fires on plain prose mentioning 'agent' or 'instructions'.,"The aggregate reports replication ratios of 460%, 293%, 53%, and 47% across cohort '/category4_surface_mentions' for several agent-manipulation rules. Replications above 100% are mathematically impossible relative to the stated denominator (15 skills) and indicate the aggregator is double-counting matches per file or misjoining example sets. The bundled example files are coherent project AGENTS.md / CLAUDE.md documents (apfel Swift CLI, mcp_agent_mail, Lychee, etc.) without any cross-agent attack instructions. The underlying detector pattern overfires on routine agent-tooling prose. [SELF-AUDIT NOTE: Confidence reduced from 'high' to 'medium'. The 'X/15 skills (Y%)' notation in the aggregator is genuinely ambiguous — X may be matches across files rather than skills with at least one match, in which case >100% is not strictly impossible. The substantive FP reasoning (defensive prose, polarity inversion, irrelevant code in bundled examples) still holds for the examples I saw, but I cannot rule out that the four-or-more files for the named sub-rule include real positives I did not examine.]",Aggregate replication ratios over 100% and bundled examples (apfel/AGENTS.md is a normal project guide) contradict the claim.,
TPFPV1-0195,88,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Persistent identity rewrite with future-session effect,materials/TPFPV1-0195/material-index.json,FP,high,none,"sickn33 mobile-security-coder skill is a defensive listing of mobile security topics ('device fingerprinting, hardware-based authentication, root/jailbreak detection').","The matched evidence is a list of platform-specific security techniques (iOS Keychain Services, root/jailbreak detection, etc.) that a mobile developer should consider. This is defensive security guidance, not identity rewrite. The 'jailbreak' word is in 'root/jailbreak detection' — a defensive capability. Same FP class as 0194.",Text is mobile-security best practices.,
TPFPV1-0078,90,high,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0078/material-index.json,TP,high,high,"Same iterate-pr autonomous-loop pattern as 0058/0059/0064/0065, replicated in sickn33's antigravity-awesome-skills.","The skill description ('continuously push fixes until all checks are green. Automates the feedback-fix-push-wait cycle') is the same autonomous CI/review-feedback loop seen elsewhere. Per-iteration commits and pushes happen without user gating. Real autonomous-write surface; sickn33's collection just bundles others' skills, so the pattern is genuinely there.",Some approval-language markers were detected (appr=1) but they do not constitute per-write gates.,
TPFPV1-0123,91,high,repo-file,category4_surface_mentions,category4_surface_mentions/huggingface__skills,Broad external-action surface without approval model,materials/TPFPV1-0123/material-index.json,TP,medium,medium,"Same HF skill family — instructs jobs to be submitted via MCP with secrets passed in 'job secrets', no per-submit approval.",Same skill as 0122 with object-detection-specific guidance. Same submit-immediately directive applies. Risk profile identical to 0122. The 'MUST pass token in job secrets' line is good practice but does not gate submission.,Same as 0122.,
TPFPV1-0058,92,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/NousResearch__hermes-agent,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0058/material-index.json,TP,medium,medium,"hermes-agent research-paper skill includes 'commit early, commit often' guidance and a 5-step BibTeX fetch loop, with low approval framing relative to autonomy framing.","The skill instructs the agent to 'always fetch programmatically' for citations and to follow a mandatory multi-step process inside an iterative drafting/compiling loop. The detector flags writes (commit/push) and autonomy markers; reading the skill confirms it expects the agent to iterate over paper sections, compile, and commit without per-step user gates beyond the high-level setup. The harm relevance is moderate (writes are confined to the user's paper repo) but the autonomy-without-approval pattern is real.","The skill is scoped to a single research repo and the actions are narrow (LaTeX edits, git commits).",
