dataset_record_id,adjudication_review_order,severity,scope_type,category,repo_key,finding_statement,material_index,review_label,review_confidence,review_harm_relevance,reviewer_id,rationale_short,rationale_detailed,disconfirming_evidence,additional_evidence_needed,notes
TPFPV1-0065,31,high,repo-file,category2_agent_tooling,category2_agent_tooling/openai__codex,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0065/material-index.json,TP,high,high,reviewer3-codex,"The artifact explicitly instructs the agent to keep monitoring PR state, retrying flaky checks, patching code, pushing fixes, and continuing to watch until terminal conditions in a repeated unattended loop rather than stopping after a single bounded action.","The core behavior here is a genuine autonomous loop: the agent is told to keep monitoring PR state, retrying flaky checks, patching code, pushing fixes, and continuing to watch until terminal conditions until externally defined stop conditions are met. That is materially different from a normal one-shot workflow because the file authorizes repeated writes, commits, pushes, replies, or similar state-changing actions without pausing for renewed approval. The loop logic and stop conditions are spelled out in imperative terms, so the surface is operational rather than hypothetical. This creates real risk of unwanted churn or external side effects if the automation misclassifies feedback or failures. The script has safety notes and stop conditions, but it still authorizes persistent unattended polling and repeated write-side interventions.","This would be weaker if each write action required a fresh user confirmation, or if the file only described a manual checklist rather than an agent-driven repeat-until-done loop.",Per-write confirmation gates or a strictly one-shot workflow would likely clear this finding.,
TPFPV1-0118,32,high,repo-file,category4_surface_mentions,category4_surface_mentions/danielmiessler__Personal_AI_Infrastructure,Broad external-action surface without approval model,materials/TPFPV1-0118/material-index.json,TP,high,high,reviewer3-codex,"The artifact operationally exposes multi-tier web scraping, crawling, and escalation to Bright Data with automatic fallback behavior without a clear per-action approval step once the skill is in use.","This file is not a mere mention of the capability; it lays out an operational workflow for multi-tier web scraping, crawling, and escalation to Bright Data with automatic fallback behavior. The skill mandates an immediate localhost notification curl and then instructs the agent to progress through scraping tiers, including browser automation and Bright Data, to overcome blocking. The surrounding text reads like agent instructions rather than a neutral warning or hypothetical example, so the action surface is materially present in the artifact. Because the action reaches external systems, accounts, or cloud services, the trust boundary expands in a way that matters for security review. It is invoked by user requests for scraping, but the lack of per-action confirmation and the explicit bypass/escalation behavior leave the risky surface intact.","This would be weaker if the file required an explicit user confirmation immediately before each outbound action, or if it were clearly limited to descriptive/reference-only prose rather than execution guidance.",A stronger user-visible approval checkpoint before each external write or network side effect would have pushed this toward FP.,
TPFPV1-0115,33,high,repo-file,category4_surface_mentions,category4_surface_mentions/Yeachan-Heo__oh-my-codex,Broad external-action surface without approval model,materials/TPFPV1-0115/material-index.json,FP,high,low,reviewer3-codex,"The matched action verbs appear in a planning workflow that centers on asking the user questions, gathering facts, and outputting plans rather than executing them, not in an unconstrained external-action workflow.","On full reading, this artifact is better understood as a planning workflow that centers on asking the user questions, gathering facts, and outputting plans rather than executing them. That means the detector is keying off capability words and examples rather than a real always-on instruction to perform broad external actions. In several places the file is either descriptive, scoped to setup/reference usage, or explicitly mediated by approval/permission language. I do not see evidence that invoking the artifact necessarily causes the agent to act on external systems without meaningful user mediation. The file explicitly distinguishes planning from execution and routes execution handoff elsewhere, which substantially undercuts the claimed action surface.",This would move toward TP if the file switched from descriptive/setup guidance to imperative instructions that automatically perform the remote action or bypass the stated approval checks.,"If there is hidden runtime wiring that auto-executes the described steps, that extra evidence would change the conclusion.",
TPFPV1-0087,34,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/NousResearch__hermes-agent,Broad external-action surface without approval model,materials/TPFPV1-0087/material-index.json,TP,medium,high,reviewer3-codex,The artifact operationally exposes creating agent-owned inboxes and sending/replying to email as the agent without a clear per-action approval step once the skill is in use.,"This file is not a mere mention of the capability; it lays out an operational workflow for creating agent-owned inboxes and sending/replying to email as the agent. The skill gives a concrete procedure for creating inboxes, sending messages, reading replies, and even signing up for services with the agent-owned address. The surrounding text reads like agent instructions rather than a neutral warning or hypothetical example, so the action surface is materially present in the artifact. Because the action reaches external systems, accounts, or cloud services, the trust boundary expands in a way that matters for security review. The setup is scoped to AgentMail accounts, but there is no separate per-email approval step once the tools are configured.","This would be weaker if the file required an explicit user confirmation immediately before each outbound action, or if it were clearly limited to descriptive/reference-only prose rather than execution guidance.",A stronger user-visible approval checkpoint before each external write or network side effect would have pushed this toward FP.,
TPFPV1-0080,35,high,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0080/material-index.json,TP,high,high,reviewer3-codex,"The artifact explicitly instructs the agent to keep fixing issues, committing, pushing, and polling CI/review feedback until the PR is green in a repeated unattended loop rather than stopping after a single bounded action.","The core behavior here is a genuine autonomous loop: the agent is told to keep fixing issues, committing, pushing, and polling CI/review feedback until the PR is green until externally defined stop conditions are met. That is materially different from a normal one-shot workflow because the file authorizes repeated writes, commits, pushes, replies, or similar state-changing actions without pausing for renewed approval. The loop logic and stop conditions are spelled out in imperative terms, so the surface is operational rather than hypothetical. This creates real risk of unwanted churn or external side effects if the automation misclassifies feedback or failures. The loop is bounded by success and helper conditions, but there is no fresh approval requirement before each new commit or push.","This would be weaker if each write action required a fresh user confirmation, or if the file only described a manual checklist rather than an agent-driven repeat-until-done loop.",Per-write confirmation gates or a strictly one-shot workflow would likely clear this finding.,
TPFPV1-0064,36,high,repo-file,category2_agent_tooling,category2_agent_tooling/Significant-Gravitas__AutoGPT,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0064/material-index.json,TP,high,high,reviewer3-codex,"The artifact explicitly instructs the agent to keep making code fixes, committing, pushing, replying, and resolving comments until CI is green and feedback is cleared in a repeated unattended loop rather than stopping after a single bounded action.","The core behavior here is a genuine autonomous loop: the agent is told to keep making code fixes, committing, pushing, replying, and resolving comments until CI is green and feedback is cleared until externally defined stop conditions are met. That is materially different from a normal one-shot workflow because the file authorizes repeated writes, commits, pushes, replies, or similar state-changing actions without pausing for renewed approval. The loop logic and stop conditions are spelled out in imperative terms, so the surface is operational rather than hypothetical. This creates real risk of unwanted churn or external side effects if the automation misclassifies feedback or failures. The workflow is disciplined, but it is still a repeat-until-done automation over write and remote-comment actions.","This would be weaker if each write action required a fresh user confirmation, or if the file only described a manual checklist rather than an agent-driven repeat-until-done loop.",Per-write confirmation gates or a strictly one-shot workflow would likely clear this finding.,
TPFPV1-0201,37,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Persistent identity rewrite with future-session effect,materials/TPFPV1-0201/material-index.json,FP,high,low,reviewer3-codex,"The file uses mobile secure-coding guidance and jailbreak-detection terminology, but it does not instruct the agent to persistently rewrite its own identity or future-session configuration.","The detector seems to be reacting to mobile secure-coding guidance and jailbreak-detection terminology rather than a real config or identity takeover. On full reading, the artifact is a domain-specific security or coding guide, not a workflow that edits the agent's standing persona for future sessions. I do not see imperative steps that rewrite the agent role in a persistent config file or inject a new default identity into later runs. Because the persistence element is missing, the specific finding statement is not supported.","This would move toward TP if the file actually wrote to persistent agent config, memory, system-prompt, or profile files in a way that changed later sessions.",Concrete config-write instructions tied to future-session behavior would be needed to support the claim.,
TPFPV1-0096,38,high,repo-file,category2_agent_tooling,category2_agent_tooling/anthropics__claude-code,Broad external-action surface without approval model,materials/TPFPV1-0096/material-index.json,FP,high,low,reviewer3-codex,"The matched action verbs appear in MCP integration reference material with configuration examples and security-oriented allowlist advice, not in an unconstrained external-action workflow.","On full reading, this artifact is better understood as MCP integration reference material with configuration examples and security-oriented allowlist advice. That means the detector is keying off capability words and examples rather than a real always-on instruction to perform broad external actions. In several places the file is either descriptive, scoped to setup/reference usage, or explicitly mediated by approval/permission language. I do not see evidence that invoking the artifact necessarily causes the agent to act on external systems without meaningful user mediation.",This would move toward TP if the file switched from descriptive/setup guidance to imperative instructions that automatically perform the remote action or bypass the stated approval checks.,"If there is hidden runtime wiring that auto-executes the described steps, that extra evidence would change the conclusion.",
TPFPV1-0277,39,medium,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/affaan-m__everything-claude-code,Remote SDK or script fetch as agent input,materials/TPFPV1-0277/material-index.json,FP,high,low,reviewer3-codex,"The matched code is ordinary X API usage, not a remote script or SDK fetch being ingested as agent instructions or executable input.","The artifact demonstrates authenticated API calls for posting, searching, uploading media, and reading X data. That is a normal product-integration skill, not a workflow where the agent fetches remote code or remote scripts and treats them as trusted input. The evidence snippet points to an HTTP upload call, which is even further from the named risk pattern than a remote fetch would be. As written, the rule appears to have matched generic network activity rather than the specific trust-boundary issue described by the finding statement.","This would move toward TP if the skill pulled remote code, SDK bootstrap scripts, or untrusted remote instructions and then executed or incorporated them automatically.",A concrete remote bootstrap/fetch-and-execute step is the missing evidence.,
TPFPV1-0122,40,high,repo-file,category4_surface_mentions,category4_surface_mentions/huggingface__skills,Broad external-action surface without approval model,materials/TPFPV1-0122/material-index.json,TP,high,high,reviewer3-codex,The artifact operationally exposes submitting Hugging Face LLM training jobs to managed cloud infrastructure without a clear per-action approval step once the skill is in use.,"This file is not a mere mention of the capability; it lays out an operational workflow for submitting Hugging Face LLM training jobs to managed cloud infrastructure. The skill tells the agent to create the script and submit the job immediately with `hf_jobs()` when the user requests training, and it includes secrets handling for Hub push. The surrounding text reads like agent instructions rather than a neutral warning or hypothetical example, so the action surface is materially present in the artifact. Because the action reaches external systems, accounts, or cloud services, the trust boundary expands in a way that matters for security review. There are prerequisite and preference checks, but the file still authorizes direct cloud job submission rather than a distinct final approval gate.","This would be weaker if the file required an explicit user confirmation immediately before each outbound action, or if it were clearly limited to descriptive/reference-only prose rather than execution guidance.",A stronger user-visible approval checkpoint before each external write or network side effect would have pushed this toward FP.,
TPFPV1-0252,41,critical,repo-file,category4_surface_mentions,category4_surface_mentions/Galaxy-Dawn__claude-scholar,Curl or wget piped to shell,materials/TPFPV1-0252/material-index.json,FP,high,low,reviewer3-codex,"The curl-pipe pattern appears in a generic package-manager installation guide, not in a malicious or agent-specific unattended execution workflow.","The matched line is a standard installation example inside a generic package-manager installation guide. That is still a pattern worth cautioning about in general, but this record asks whether the artifact evidences a materially risky surface in context, and here the context is ordinary package-install documentation. There is no additional instruction to fetch arbitrary attacker-controlled content, bypass approval, or silently execute the command as part of a broader autonomous workflow. Given that contextual limitation, the finding reads as an overfire on syntax rather than a supported security issue instance.","This would move toward TP if the artifact directed the agent to run the command automatically, or if the remote script were part of a higher-risk trust-boundary expansion such as hidden bootstrap logic.",Runtime evidence that the agent is expected to execute the install command automatically would change the conclusion.,
TPFPV1-0066,42,high,repo-file,category3_custom_agents_instructions_skills,category3_custom_agents_instructions_skills/NousResearch__hermes-agent,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0066/material-index.json,FP,medium,low,reviewer3-codex,"The file describes a research-paper pipeline with iterative phases and a general instruction to commit completed work, but not the kind of persistent unattended write loop claimed by the finding.","The artifact does contain iterative language, but on full reading it is best understood as a research-paper pipeline with iterative phases and a general instruction to commit completed work. I do not see a clear instruction to keep committing, pushing, or otherwise changing state in a self-sustaining loop without renewed oversight. The detector appears to be over-weighting words like 'iterate', 'watch', or 'commit' that are common in ordinary workflows. That makes the operational meaning materially less risky than the finding statement suggests.","This would move toward TP if the file explicitly said to continue making write actions until some external condition cleared, or if it enumerated a repeatable commit/push/retry loop.",A concrete repeated write loop with explicit stop conditions would be the key missing evidence.,
TPFPV1-0089,43,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/affaan-m__everything-claude-code,Broad external-action surface without approval model,materials/TPFPV1-0089/material-index.json,FP,high,low,reviewer3-codex,"The matched action verbs appear in project guidance and config-merge policy rather than an imperative external-action workflow, not in an unconstrained external-action workflow.","On full reading, this artifact is better understood as project guidance and config-merge policy rather than an imperative external-action workflow. That means the detector is keying off capability words and examples rather than a real always-on instruction to perform broad external actions. In several places the file is either descriptive, scoped to setup/reference usage, or explicitly mediated by approval/permission language. I do not see evidence that invoking the artifact necessarily causes the agent to act on external systems without meaningful user mediation.",This would move toward TP if the file switched from descriptive/setup guidance to imperative instructions that automatically perform the remote action or bypass the stated approval checks.,"If there is hidden runtime wiring that auto-executes the described steps, that extra evidence would change the conclusion.",
TPFPV1-0078,44,high,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0078/material-index.json,TP,high,high,reviewer3-codex,"The artifact explicitly instructs the agent to keep fixing issues, committing, pushing, and polling CI/review feedback until the PR is green in a repeated unattended loop rather than stopping after a single bounded action.","The core behavior here is a genuine autonomous loop: the agent is told to keep fixing issues, committing, pushing, and polling CI/review feedback until the PR is green until externally defined stop conditions are met. That is materially different from a normal one-shot workflow because the file authorizes repeated writes, commits, pushes, replies, or similar state-changing actions without pausing for renewed approval. The loop logic and stop conditions are spelled out in imperative terms, so the surface is operational rather than hypothetical. This creates real risk of unwanted churn or external side effects if the automation misclassifies feedback or failures. The loop is bounded by success and helper conditions, but there is no fresh approval requirement before each new commit or push.","This would be weaker if each write action required a fresh user confirmation, or if the file only described a manual checklist rather than an agent-driven repeat-until-done loop.",Per-write confirmation gates or a strictly one-shot workflow would likely clear this finding.,
TPFPV1-0114,45,high,repo-file,category4_surface_mentions,category4_surface_mentions/Galaxy-Dawn__claude-scholar,Broad external-action surface without approval model,materials/TPFPV1-0114/material-index.json,FP,high,low,reviewer3-codex,"The matched action verbs appear in MCP integration/setup documentation with examples of external service configuration, not in an unconstrained external-action workflow.","On full reading, this artifact is better understood as MCP integration/setup documentation with examples of external service configuration. That means the detector is keying off capability words and examples rather than a real always-on instruction to perform broad external actions. In several places the file is either descriptive, scoped to setup/reference usage, or explicitly mediated by approval/permission language. I do not see evidence that invoking the artifact necessarily causes the agent to act on external systems without meaningful user mediation.",This would move toward TP if the file switched from descriptive/setup guidance to imperative instructions that automatically perform the remote action or bypass the stated approval checks.,"If there is hidden runtime wiring that auto-executes the described steps, that extra evidence would change the conclusion.",
TPFPV1-0194,46,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Persistent identity rewrite with future-session effect,materials/TPFPV1-0194/material-index.json,FP,high,low,reviewer3-codex,"The file uses a security-review persona and domain checklist, but it does not instruct the agent to persistently rewrite its own identity or future-session configuration.","The detector seems to be reacting to a security-review persona and domain checklist rather than a real config or identity takeover. On full reading, the artifact is a domain-specific security or coding guide, not a workflow that edits the agent's standing persona for future sessions. I do not see imperative steps that rewrite the agent role in a persistent config file or inject a new default identity into later runs. Because the persistence element is missing, the specific finding statement is not supported.","This would move toward TP if the file actually wrote to persistent agent config, memory, system-prompt, or profile files in a way that changed later sessions.",Concrete config-write instructions tied to future-session behavior would be needed to support the claim.,
TPFPV1-0002,47,critical,category-root,category4_surface_mentions,,[collection-scale] Agent Identity Spoofing and Authority Impersonation,materials/TPFPV1-0002/material-index.json,UNCERTAIN,low,high,reviewer3-codex,"The category-root record suggests replicated identity-spoofing / authority-impersonation patterns, but the packet does not provide enough artifact-specific context to verify a stable canonical instance.","This record is an aggregate claim about replicated identity-spoofing / authority-impersonation patterns across a cohort rather than a normal file-level artifact. The packet lists detector names, counts, and a few example paths, but it does not provide concrete excerpts from a representative file or enough surrounding text to tell whether the examples are real risks, benign documentation, or detector overfires. The replication math is also odd in places, which further weakens confidence that the category-root record cleanly represents one supported issue instance. Because the evidence is summary-level and heterogeneous, I cannot confidently call it TP or FP from the packet alone.","What almost clears it is that some listed example paths plausibly contain the named pattern, but the packet stops short of showing enough concrete context to verify operational meaning.",A representative excerpt or full-file context from one or more exemplars tied directly to the canonical issue would likely resolve this.,Aggregate category-root record.
TPFPV1-0193,48,critical,repo-file,category3_custom_agents_instructions_skills,category3_custom_agents_instructions_skills/NousResearch__hermes-agent,Persistent identity rewrite with future-session effect,materials/TPFPV1-0193/material-index.json,TP,high,high,reviewer3-codex,The skill explicitly writes jailbreak configuration into persistent Hermes files so later sessions inherit the modified identity/behavior.,"This is a real persistent rewrite surface, not just aggressive prompting language. The workflow directs the agent to write a winning system prompt into `~/.hermes/config.yaml`, create or update `~/.hermes/prefill.json`, and rely on those files in future sessions. That changes the trust boundary because the altered identity survives the current run and affects later behavior automatically. The undo path confirms the persistence rather than negating it, because it assumes the rewrite already happened.",This would be weaker if the file only showed ephemeral prompts for the current turn or a dry-run-only demonstration with no config writes.,A strictly session-local example with no writes to Hermes config or prefill files would clear it.,
TPFPV1-0113,49,high,category-root,category4_surface_mentions,,[collection-scale] Broad external-action surface without approval model,materials/TPFPV1-0113/material-index.json,UNCERTAIN,low,medium,reviewer3-codex,"The category-root record suggests replicated broad external-action patterns, but the packet does not provide enough artifact-specific context to verify a stable canonical instance.","This record is an aggregate claim about replicated broad external-action patterns across a cohort rather than a normal file-level artifact. The packet lists detector names, counts, and a few example paths, but it does not provide concrete excerpts from a representative file or enough surrounding text to tell whether the examples are real risks, benign documentation, or detector overfires. The replication math is also odd in places, which further weakens confidence that the category-root record cleanly represents one supported issue instance. Because the evidence is summary-level and heterogeneous, I cannot confidently call it TP or FP from the packet alone.","What almost clears it is that some listed example paths plausibly contain the named pattern, but the packet stops short of showing enough concrete context to verify operational meaning.",A representative excerpt or full-file context from one or more exemplars tied directly to the canonical issue would likely resolve this.,Aggregate category-root record.
TPFPV1-0198,50,critical,repo-file,category4_surface_mentions,category4_surface_mentions/sickn33__antigravity-awesome-skills,Persistent identity rewrite with future-session effect,materials/TPFPV1-0198/material-index.json,FP,high,low,reviewer3-codex,"The file uses mobile secure-coding guidance and jailbreak-detection terminology, but it does not instruct the agent to persistently rewrite its own identity or future-session configuration.","The detector seems to be reacting to mobile secure-coding guidance and jailbreak-detection terminology rather than a real config or identity takeover. On full reading, the artifact is a domain-specific security or coding guide, not a workflow that edits the agent's standing persona for future sessions. I do not see imperative steps that rewrite the agent role in a persistent config file or inject a new default identity into later runs. Because the persistence element is missing, the specific finding statement is not supported.","This would move toward TP if the file actually wrote to persistent agent config, memory, system-prompt, or profile files in a way that changed later sessions.",Concrete config-write instructions tied to future-session behavior would be needed to support the claim.,
TPFPV1-0067,51,high,repo-file,category3_custom_agents_instructions_skills,category3_custom_agents_instructions_skills/github__awesome-copilot,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0067/material-index.json,TP,high,high,reviewer3-codex,"The artifact explicitly instructs the agent to keep running experiments continuously, committing every attempt, and hard-resetting failed or worse variants until interrupted or budget is reached in a repeated unattended loop rather than stopping after a single bounded action.","The core behavior here is a genuine autonomous loop: the agent is told to keep running experiments continuously, committing every attempt, and hard-resetting failed or worse variants until interrupted or budget is reached until externally defined stop conditions are met. That is materially different from a normal one-shot workflow because the file authorizes repeated writes, commits, pushes, replies, or similar state-changing actions without pausing for renewed approval. The loop logic and stop conditions are spelled out in imperative terms, so the surface is operational rather than hypothetical. This creates real risk of unwanted churn or external side effects if the automation misclassifies feedback or failures. The scope and dependency rules help, but the artifact still authorizes a self-sustaining experimental write loop with destructive git operations on failure cases.","This would be weaker if each write action required a fresh user confirmation, or if the file only described a manual checklist rather than an agent-driven repeat-until-done loop.",Per-write confirmation gates or a strictly one-shot workflow would likely clear this finding.,
TPFPV1-0286,52,critical,repo-file,category4_surface_mentions,category4_surface_mentions/Ed1s0nZ__CyberStrikeAI,AWS IMDS token request,materials/TPFPV1-0286/material-index.json,FP,high,medium,reviewer3-codex,"The file lists cloud metadata URLs as SSRF targets, but it does not contain the IMDSv2 token-request pattern named by the finding.","The artifact is an SSRF testing guide that enumerates metadata endpoints and other SSRF payload ideas. However, the finding is specifically about an AWS IMDS token request, and the supplied evidence shows only metadata URLs, not the IMDSv2 `PUT` token acquisition flow or headers that would make that claim precise. Because the named surface is narrower than generic metadata access, the evidence in the packet does not actually support the stated issue. This looks like a detector overfire from nearby cloud-metadata language rather than a correct match to the cited pattern.",This would move toward TP if the file included the actual token request sequence or an equivalent authenticated IMDSv2 retrieval workflow.,An explicit IMDSv2 token acquisition example would be needed to support the claim.,
TPFPV1-0092,53,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/affaan-m__everything-claude-code,Broad external-action surface without approval model,materials/TPFPV1-0092/material-index.json,FP,high,low,reviewer3-codex,"The matched action verbs appear in research-before-coding guidance that tells the agent to look for existing tools before implementing, not in an unconstrained external-action workflow.","On full reading, this artifact is better understood as research-before-coding guidance that tells the agent to look for existing tools before implementing. That means the detector is keying off capability words and examples rather than a real always-on instruction to perform broad external actions. In several places the file is either descriptive, scoped to setup/reference usage, or explicitly mediated by approval/permission language. I do not see evidence that invoking the artifact necessarily causes the agent to act on external systems without meaningful user mediation.",This would move toward TP if the file switched from descriptive/setup guidance to imperative instructions that automatically perform the remote action or bypass the stated approval checks.,"If there is hidden runtime wiring that auto-executes the described steps, that extra evidence would change the conclusion.",
TPFPV1-0063,54,high,repo-file,category1_top_instruction_repos,category1_top_instruction_repos/microsoft__vscode,Autonomous loop performs write actions with weak approval framing,materials/TPFPV1-0063/material-index.json,FP,medium,low,reviewer3-codex,"The file describes a single CI-diagnosis workflow with one follow-up watch step rather than a persistent autonomous repair loop, but not the kind of persistent unattended write loop claimed by the finding.","The artifact does contain iterative language, but on full reading it is best understood as a single CI-diagnosis workflow with one follow-up watch step rather than a persistent autonomous repair loop. I do not see a clear instruction to keep committing, pushing, or otherwise changing state in a self-sustaining loop without renewed oversight. The detector appears to be over-weighting words like 'iterate', 'watch', or 'commit' that are common in ordinary workflows. That makes the operational meaning materially less risky than the finding statement suggests.","This would move toward TP if the file explicitly said to continue making write actions until some external condition cleared, or if it enumerated a repeatable commit/push/retry loop.",A concrete repeated write loop with explicit stop conditions would be the key missing evidence.,
